"date","close","volume","open","high","low"
"2015/10/30","101.9700","33436740.0000","104.5100","104.7200","101.6500"
"2015/10/29","104.8800","20157920.0000","103.9600","105.1200","103.5200"
"2015/10/28","104.2000","24053690.0000","103.9000","104.4800","102.9200"
"2015/10/27","103.7000","23741160.0000","102.9400","104.1000","102.4000"
"2015/10/26","103.7700","25912180.0000","102.2000","103.8100","101.5500"
"2015/10/23","102.1900","42754060.0000","101.9100","102.8500","100.1600"
"2015/10/22","99.6700","25971110.0000","97.7900","99.7300","97.5500"
"2015/10/21","97.1100","21971730.0000","97.3700","98.1800","96.4700"
"2015/10/20","97.0000","30824330.0000","98.7300","99.5900","96.5600"
"2015/10/19","98.4700","23605470.0000","97.1800","98.5700","96.9200"
"2015/10/16","97.5400","25370980.0000","96.1800","97.5900","95.3500"
"2015/10/15","95.9600","27499010.0000","94.9900","96.3000","94.9000"
"2015/10/14","94.0700","19197310.0000","94.0800","95.2000","93.6100"
"2015/10/13","94.1200","19406320.0000","93.6600","95.3700","93.5500"
"2015/10/12","94.2600","18396970.0000","93.3200","94.6000","92.6700"
"2015/10/09","93.2400","19979290.0000","92.9000","93.7400","92.2390"
"2015/10/08","92.4700","27237050.0000","91.8900","93.2200","90.4700"
"2015/10/07","92.4000","24094490.0000","93.1100","93.6600","91.3700"
"2015/10/06","92.8000","22459730.0000","94.0800","94.1700","92.3400"
"2015/10/05","94.0100","27258120.0000","92.9400","94.2700","92.6600"
"2015/10/02","92.0700","37672130.0000","88.9000","92.2000","88.3700"
"2015/10/01","90.9500","29219020.0000","90.0500","90.9500","88.3600"
"2015/09/30","89.9000","36113040.0000","88.4400","90.0200","88.0100"
"2015/09/29","86.6700","42212360.0000","89.1000","90.0600","85.7200"
"2015/09/28","89.2100","41060880.0000","92.0800","92.2900","88.1800"
"2015/09/25","92.7700","28910510.0000","95.7900","95.8500","92.0600"
"2015/09/24","94.4100","29037890.0000","93.0600","94.7650","92.2400"
"2015/09/23","93.9700","21672220.0000","93.4000","94.3200","92.8000"
"2015/09/22","92.9600","36834600.0000","93.7700","94.6800","91.9200"
"2015/09/21","95.5500","28760280.0000","94.6200","96.4900","94.5200"
"2015/09/18","94.4000","62232280.0000","93.2000","95.1900","93.0500"
"2015/09/17","94.3400","27716330.0000","93.3700","95.5100","92.9000"
"2015/09/16","93.4500","16265640.0000","92.9000","93.6000","92.6300"
"2015/09/15","92.9000","18820730.0000","92.3700","93.2500","91.7900"
"2015/09/14","92.3100","20108630.0000","92.3100","92.6200","91.6000"
"2015/09/11","92.0500","21102320.0000","91.6800","92.0800","91.1300"
"2015/09/10","91.9800","26392490.0000","90.0700","92.0600","89.6300"
"2015/09/09","90.4400","32482750.0000","90.7800","91.9800","90.1700"
"2015/09/08","89.5300","26935820.0000","89.6900","90.2400","88.8300"
"2015/09/04","88.2600","27277250.0000","87.2000","88.3900","86.7000"
"2015/09/03","88.1500","26954140.0000","89.7600","89.8200","87.7300"
