date,close,volume,open,high,low
12/30/14,79.22,14354170.00,79.85,80.59,79.10
12/29/14,80.02,14101570.00,80.49,80.96,79.71
12/26/14,80.78,10632810.00,81.02,81.28,80.51
12/24/14,80.77,7685481.00,81.03,81.43,80.75
12/23/14,80.61,19846990.00,82.02,82.17,80.40
12/22/14,81.45,31361040.00,80.08,81.89,80.00
12/19/14,79.88,43274930.00,78.75,80.00,78.33
12/18/14,78.40,34147520.00,76.89,78.40,76.51
12/17/14,76.11,29142380.00,75.01,76.41,74.90
12/16/14,74.69,31466710.00,76.19,77.39,74.59
12/15/14,76.99,29341660.00,78.46,78.58,76.56
12/12/14,77.83,28049760.00,77.16,78.88,77.02
12/11/14,77.73,33465080.00,76.52,78.52,76.48
12/10/14,76.18,32168400.00,76.65,77.55,76.07
12/09/14,76.84,25307530.00,75.20,76.93,74.78
12/08/14,76.52,25674150.00,76.18,77.25,75.40
12/05/14,76.36,24273070.00,75.80,76.76,75.36
12/04/14,75.24,14369110.00,74.83,75.55,74.66
12/03/14,74.88,15936750.00,75.38,75.73,74.40
12/02/14,75.46,16750770.00,75.33,75.91,75.04
12/01/14,75.10,31747970.00,77.26,77.31,74.80
11/28/14,77.70,15992040.00,77.67,78.27,77.23
11/26/14,77.62,32686400.00,75.53,77.78,75.51
11/25/14,75.63,32199750.00,74.21,75.74,74.13
11/24/14,74.01,22080500.00,73.54,74.35,73.35
11/21/14,73.75,23039660.00,74.50,74.50,73.50
11/20/14,73.60,19128520.00,72.80,73.99,72.51
11/19/14,73.33,25401630.00,74.01,74.54,73.11
11/18/14,74.34,20678330.00,74.45,74.80,73.90
11/17/14,74.24,28669580.00,74.88,75.66,73.88
11/14/14,74.88,19416910.00,74.27,74.93,74.04
11/13/14,74.25,26408940.00,74.74,75.24,73.64
11/12/14,74.72,26497580.00,74.28,75.14,73.54
11/11/14,74.61,18702040.00,74.95,74.98,74.03
11/10/14,75.00,21526460.00,75.36,75.48,74.61
11/07/14,75.60,20757430.00,75.39,75.86,75.02
11/06/14,75.26,21321380.00,74.89,75.60,74.31
11/05/14,74.83,35853620.00,76.51,76.80,74.42
11/04/14,75.76,39202820.00,74.23,75.77,73.65
11/03/14,73.88,40529830.00,75.47,75.52,73.70
10/31/14,74.99,44472280.00,74.93,75.70,74.45
10/30/14,74.11,83098240.00,75.05,75.35,72.90
10/29/14,75.86,105883000.00,75.45,76.88,74.78
10/28/14,80.77,61137040.00,80.18,81.16,79.57
10/27/14,80.28,29806870.00,80.74,80.80,79.76
10/24/14,80.67,32123520.00,80.20,80.82,79.32
10/23/14,80.04,34892410.00,79.38,80.63,79.01
10/22/14,78.37,41799140.00,78.82,79.85,78.01
10/21/14,78.69,32176370.00,77.56,78.74,77.15
10/20/14,76.95,34555900.00,75.60,77.09,75.38
10/17/14,75.95,76263220.00,74.23,76.00,73.75
10/16/14,72.63,53456880.00,70.79,73.35,70.58
10/15/14,73.21,61397390.00,71.69,73.80,70.32
10/14/14,73.59,50126990.00,74.00,74.18,72.05
10/13/14,72.99,43847640.00,73.23,74.78,72.52
10/10/14,72.91,52068580.00,75.59,76.50,72.76
10/09/14,75.91,32421030.00,77.28,77.76,75.85
10/08/14,77.52,32853310.00,76.18,77.71,75.10
10/07/14,76.29,25241360.00,77.05,77.95,76.24
10/06/14,77.56,25689890.00,77.19,77.89,76.85
10/03/14,77.44,23280910.00,77.76,78.06,77.26
10/02/14,77.08,36468900.00,76.57,77.48,75.64
10/01/14,76.55,55006570.00,78.78,78.82,75.90
09/30/14,79.04,35816980.00,79.35,79.71,78.60
09/29/14,79.00,33969370.00,78.12,79.20,77.91
09/26/14,78.79,28827060.00,77.59,78.84,77.33
09/25/14,77.22,37392870.00,78.60,78.94,77.13
09/24/14,78.54,30638360.00,78.10,78.62,77.51
09/23/14,78.29,36666690.00,76.33,78.63,76.04
09/22/14,76.80,31908240.00,77.00,77.53,75.95
09/19/14,77.91,76614560.00,77.40,78.30,76.44
09/18/14,77.00,22939820.00,76.77,77.33,76.52
09/17/14,76.43,28498200.00,75.96,77.25,75.57
09/16/14,76.08,37662500.00,73.52,76.23,73.07
09/15/14,74.58,49552660.00,77.15,77.25,73.43
09/12/14,77.48,26655670.00,78.02,78.30,77.10
09/11/14,77.92,32181110.00,77.13,78.36,77.05
09/10/14,77.43,29836020.00,76.52,77.95,76.51
09/09/14,76.67,28723090.00,77.59,78.17,76.20
09/08/14,77.89,28135810.00,77.26,78.17,77.01
09/05/14,77.26,29387630.00,76.10,77.38,75.60
09/04/14,75.95,26581940.00,75.89,76.93,75.53
09/03/14,75.83,32311920.00,77.14,77.48,75.60
09/02/14,76.68,34744550.00,75.01,76.70,74.82
08/29/14,74.82,26215560.00,74.30,74.82,74.01
08/28/14,73.86,21898440.00,74.00,74.43,73.73
08/27/14,74.63,36213130.00,75.27,75.49,74.46
08/26/14,75.96,23793170.00,75.00,75.99,74.73
08/25/14,75.02,19683350.00,74.94,75.28,74.79
08/22/14,74.57,20847650.00,74.34,74.73,73.57
08/21/14,74.57,20053690.00,74.92,75.19,74.41
08/20/14,74.81,22863680.00,74.97,75.18,74.62
08/19/14,75.29,26596500.00,74.81,75.58,74.77
08/18/14,74.59,23898550.00,74.00,74.72,73.96
08/15/14,73.63,38837920.00,74.32,74.65,73.00
08/14/14,74.30,22163750.00,73.97,74.38,73.69
08/13/14,73.77,29181990.00,73.12,74.25,73.05
08/12/14,72.83,27347900.00,73.09,73.33,72.22
08/11/14,73.44,24533690.00,73.46,73.91,73.06
08/08/14,73.06,27097750.00,73.40,73.43,72.56
08/07/14,73.17,38049750.00,73.00,74.00,72.70
08/06/14,72.47,30898990.00,72.02,73.72,71.79
08/05/14,72.69,34918620.00,73.20,73.59,72.18
08/04/14,73.51,30630370.00,72.36,73.88,72.36
08/01/14,72.36,43402770.00,72.22,73.22,71.55
07/31/14,72.65,43811380.00,74.00,74.17,72.44
07/30/14,74.68,36804070.00,74.21,75.19,74.13
07/29/14,73.71,41050770.00,74.72,74.92,73.42
07/28/14,74.92,41556090.00,75.17,75.50,73.85
07/25/14,75.19,45792800.00,74.99,75.67,74.66
07/24/14,74.98,123026900.00,75.96,76.74,74.51
07/23/14,71.29,74712560.00,69.74,71.33,69.61
07/22/14,69.27,40227960.00,69.76,69.77,68.61
07/21/14,69.40,49386920.00,68.81,69.96,68.50
07/18/14,68.42,42223010.00,66.80,68.46,66.16
07/17/14,66.41,37941770.00,67.03,67.85,66.04
07/16/14,67.66,29525060.00,67.54,67.94,67.07
07/15/14,67.17,44145960.00,67.96,68.09,66.26
07/14/14,67.90,38404830.00,67.13,68.17,66.90
07/11/14,66.34,39147600.00,65.28,66.59,64.79
07/10/14,64.87,44348430.00,63.31,65.34,63.05
07/09/14,64.97,51298480.00,63.41,65.12,63.15
07/08/14,62.76,68838080.00,65.06,65.56,62.21
